earth , jupiter , mars , venus , saturn , mercury , uranus , neptune , sun 
-0.972813 0.203947 0.000111 , 3.412503 -3.741409 -0.060825 , -0.260324 1.569166 0.039097 , 0.664087 -0.269884 -0.042391 , 5.767065 -8.129140 -0.088254 , -0.374761 -0.285751 0.010037 , 15.176463 12.655896 -0.149609 , 29.487962 -5.020464 -0.576192 , -0.007088 0.005603 0.000120 
-0.987753 0.117933 0.000116 , 3.439790 -3.714055 -0.061549 , -0.326775 1.562028 0.040578 , 0.695485 -0.174020 -0.042887 , 5.788230 -8.113026 -0.089377 , -0.297213 -0.365651 -0.003605 , 15.163714 12.670075 -0.149391 , 29.490487 -5.004897 -0.576571 , -0.007120 0.005571 0.000121 
-0.995105 0.031050 0.000121 , 3.466881 -3.686488 -0.062270 , -0.392633 1.552005 0.041985 , 0.713248 -0.074669 -0.042549 , 5.809352 -8.096850 -0.090500 , -0.199031 -0.419147 -0.016982 , 15.150951 12.684241 -0.149173 , 29.493004 -4.989329 -0.576950 , -0.007151 0.005538 0.000122 
-0.994844 -0.056030 0.000126 , 3.493774 -3.658711 -0.062987 , -0.457784 1.539144 0.043314 , 0.717009 0.026241 -0.041382 , 5.830430 -8.080614 -0.091621 , -0.086773 -0.441493 -0.029105 , 15.138172 12.698396 -0.148955 , 29.495512 -4.973759 -0.577328 , -0.007182 0.005506 0.000123 
-0.987000 -0.142637 0.000131 , 3.520467 -3.630725 -0.063700 , -0.522114 1.523491 0.044565 , 0.706670 0.126747 -0.039407 , 5.851464 -8.064317 -0.092742 , 0.031774 -0.428532 -0.038919 , 15.125380 12.712538 -0.148736 , 29.498013 -4.958187 -0.577706 , -0.007213 0.005473 0.000124 
-0.971664 -0.228111 0.000136 , 3.546958 -3.602531 -0.064409 , -0.585516 1.505099 0.045736 , 0.682403 0.224888 -0.036660 , 5.872454 -8.047958 -0.093863 , 0.146860 -0.377017 -0.045266 , 15.112572 12.726667 -0.148518 , 29.500505 -4.942615 -0.578085 , -0.007244 0.005440 0.000125 
-0.948985 -0.311808 0.000141 , 3.573245 -3.574130 -0.065115 , -0.647882 1.484024 0.046825 , 0.644652 0.318737 -0.033194 , 5.893399 -8.031540 -0.094982 , 0.245891 -0.285642 -0.046882 , 15.099750 12.740785 -0.148300 , 29.502988 -4.927041 -0.578463 , -0.007275 0.005407 0.000126 
-0.919166 -0.393099 0.000146 , 3.599328 -3.545524 -0.065817 , -0.709110 1.460322 0.047831 , 0.594122 0.406446 -0.029075 , 5.914301 -8.015060 -0.096101 , 0.312831 -0.157366 -0.042539 , 15.086913 12.754890 -0.148081 , 29.505464 -4.911465 -0.578840 , -0.007306 0.005374 0.000127 
-0.882463 -0.471382 0.000151 , 3.625203 -3.516715 -0.066516 , -0.769101 1.434055 0.048753 , 0.531775 0.486274 -0.024382 , 5.935157 -7.998520 -0.097219 , 0.329416 -0.003484 -0.031485 , 15.074062 12.768983 -0.147862 , 29.507932 -4.895888 -0.579218 , -0.007336 0.005340 0.000128 
-0.839181 -0.546082 0.000155 , 3.650870 -3.487703 -0.067210 , -0.827759 1.405288 0.049590 , 0.458807 0.556627 -0.019206 , 5.955969 -7.981920 -0.098337 , 0.281306 0.152099 -0.014357 , 15.061196 12.783064 -0.147643 , 29.510391 -4.880310 -0.579595 , -0.007366 0.005306 0.000129 
-0.789674 -0.616655 0.000159 , 3.676327 -3.458491 -0.067901 , -0.884989 1.374085 0.050341 , 0.376634 0.616092 -0.013648 , 5.976736 -7.965260 -0.099453 , 0.170136 0.275619 0.005936 , 15.048316 12.797132 -0.147424 , 29.512842 -4.864731 -0.579973 , -0.007395 0.005272 0.000130 
-0.734335 -0.682592 0.000163 , 3.701572 -3.429079 -0.068588 , -0.940703 1.340517 0.051005 , 0.286856 0.663462 -0.007818 , 5.997458 -7.948539 -0.100569 , 0.019934 0.339699 0.024951 , 15.035421 12.811188 -0.147205 , 29.515285 -4.849150 -0.580350 , -0.007425 0.005238 0.000131 
-0.673601 -0.743425 0.000167 , 3.726603 -3.399470 -0.069271 , -0.994813 1.304655 0.051582 , 0.191239 0.697768 -0.001830 , 6.018135 -7.931758 -0.101684 , -0.135606 0.338453 0.039118 , 15.022512 12.825232 -0.146985 , 29.517719 -4.833568 -0.580727 , -0.007454 0.005204 0.000132 
-0.607942 -0.798722 0.000170 , 3.751419 -3.369665 -0.069950 , -1.047235 1.266571 0.052071 , 0.091669 0.718295 0.004197 , 6.038767 -7.914918 -0.102799 , -0.270558 0.283688 0.047023 , 15.009588 12.839263 -0.146766 , 29.520146 -4.817984 -0.581104 , -0.007483 0.005170 0.000133 
-0.537861 -0.848100 0.000174 , 3.776018 -3.339665 -0.070624 , -1.097889 1.226342 0.052471 , -0.009877 0.724606 0.010143 , 6.059352 -7.898018 -0.103912 , -0.371468 0.192891 0.048861 , 14.996650 12.853281 -0.146546 , 29.522564 -4.802399 -0.581480 , -0.007512 0.005135 0.000133 
-0.463889 -0.891219 0.000176 , 3.800399 -3.309471 -0.071295 , -1.146696 1.184046 0.052783 , -0.111375 0.716547 0.015890 , 6.079892 -7.881058 -0.105025 , -0.433775 0.082185 0.045531 , 14.983697 12.867288 -0.146326 , 29.524974 -4.786813 -0.581857 , -0.007541 0.005100 0.000134 
-0.386579 -0.927784 0.000179 , 3.824559 -3.279087 -0.071962 , -1.193583 1.139762 0.053006 , -0.210795 0.694256 0.021320 , 6.100386 -7.864038 -0.106137 , -0.457697 -0.035460 0.038113 , 14.970729 12.881282 -0.146106 , 29.527375 -4.771225 -0.582233 , -0.007570 0.005065 0.000135 
-0.306508 -0.957551 0.000181 , 3.848498 -3.248512 -0.072624 , -1.238477 1.093572 0.053141 , -0.306143 0.658159 0.026327 , 6.120834 -7.846959 -0.107249 , -0.445728 -0.149871 0.027667 , 14.957748 12.895263 -0.145886 , 29.529769 -4.755637 -0.582609 , -0.007598 0.005030 0.000136 
-0.224264 -0.980325 0.000183 , 3.872214 -3.217749 -0.073282 , -1.281310 1.045559 0.053186 , -0.395505 0.608966 0.030808 , 6.141236 -7.829821 -0.108359 , -0.401452 -0.252858 0.015191 , 14.944751 12.909232 -0.145666 , 29.532154 -4.740046 -0.582985 , -0.007626 0.004994 0.000137 
-0.140450 -0.995960 0.000185 , 3.895705 -3.186799 -0.073936 , -1.322017 0.995808 0.053143 , -0.477083 0.547657 0.034674 , 6.161591 -7.812623 -0.109469 , -0.329135 -0.337485 0.001643 , 14.931741 12.923189 -0.145445 , 29.534531 -4.724455 -0.583361 , -0.007654 0.004959 0.000138 
-0.055676 -1.004361 0.000186 , 3.918969 -3.155664 -0.074586 , -1.360533 0.944407 0.053012 , -0.549240 0.475456 0.037847 , 6.181900 -7.795366 -0.110577 , -0.233740 -0.397529 -0.012013 , 14.918715 12.937133 -0.145225 , 29.536900 -4.708862 -0.583737 , -0.007682 0.004923 0.000139 
0.029445 -1.005484 0.000187 , 3.942006 -3.124346 -0.075231 , -1.396801 0.891444 0.052792 , -0.610529 0.393815 0.040263 , 6.202162 -7.778051 -0.111685 , -0.121266 -0.427168 -0.024751 , 14.905676 12.951064 -0.145004 , 29.539261 -4.693268 -0.584113 , -0.007709 0.004887 0.000140 
0.114299 -0.999335 0.000187 , 3.964812 -3.092845 -0.075872 , -1.430762 0.837009 0.052486 , -0.659727 0.304373 0.041875 , 6.222377 -7.760676 -0.112793 , 0.000642 -0.420925 -0.035422 , 14.892622 12.964983 -0.144783 , 29.541613 -4.677672 -0.584488 , -0.007737 0.004851 0.000141 
0.198276 -0.985969 0.000187 , 3.987388 -3.061165 -0.076508 , -1.462363 0.781195 0.052092 , -0.695858 0.208930 0.042650 , 6.242545 -7.743242 -0.113899 , 0.121753 -0.374097 -0.042704 , 14.879553 12.978889 -0.144563 , 29.543958 -4.662076 -0.584863 , -0.007764 0.004815 0.000142 
0.280775 -0.965490 0.000187 , 4.009731 -3.029306 -0.077140 , -1.491554 0.724093 0.051612 , -0.718216 0.109402 0.042574 , 6.262666 -7.725750 -0.115004 , 0.228118 -0.284112 -0.045106 , 14.866471 12.992783 -0.144341 , 29.546294 -4.646478 -0.585238 , -0.007791 0.004778 0.000143 
0.361205 -0.938052 0.000186 , 4.031840 -2.997271 -0.077768 , -1.518285 0.665800 0.051048 , -0.726374 0.007783 0.041650 , 6.282739 -7.708200 -0.116109 , 0.301395 -0.153599 -0.041161 , 14.853373 13.006665 -0.144120 , 29.548621 -4.630878 -0.585613 , -0.007817 0.004741 0.000144 
0.438990 -0.903856 0.000186 , 4.053713 -2.965060 -0.078391 , -1.542513 0.606411 0.050398 , -0.720196 -0.093895 0.039898 , 6.302765 -7.690591 -0.117212 , 0.320944 0.004436 -0.030038 , 14.840262 13.020533 -0.143899 , 29.550941 -4.615278 -0.585988 , -0.007844 0.004704 0.000145 
0.513572 -0.863148 0.000184 , 4.075350 -2.932676 -0.079009 , -1.564195 0.546023 0.049666 , -0.699834 -0.193610 0.037355 , 6.322743 -7.672923 -0.118315 , 0.272519 0.162533 -0.012676 , 14.827136 13.034389 -0.143677 , 29.553252 -4.599676 -0.586362 , -0.007870 0.004667 0.000146 
0.584418 -0.816218 0.000183 , 4.096747 -2.900120 -0.079623 , -1.583292 0.484737 0.048851 , -0.665724 -0.289386 0.034072 , 6.342673 -7.655198 -0.119417 , 0.161611 0.285456 0.007545 , 14.813996 13.048233 -0.143456 , 29.555555 -4.584072 -0.586737 , -0.007896 0.004630 0.000147 
0.651015 -0.763401 0.000181 , 4.117905 -2.867395 -0.080232 , -1.599769 0.422652 0.047955 , -0.618577 -0.379334 0.030117 , 6.362555 -7.637414 -0.120518 , 0.014988 0.349208 0.026206 , 14.800841 13.062064 -0.143234 , 29.557850 -4.568468 -0.587111 , -0.007922 0.004592 0.000148 
0.712881 -0.705069 0.000179 , 4.138821 -2.834501 -0.080837 , -1.613592 0.359870 0.046979 , -0.559356 -0.461691 0.025569 , 6.382389 -7.619573 -0.121618 , -0.135733 0.351238 0.040199 , 14.787672 13.075882 -0.143012 , 29.560137 -4.552862 -0.587485 , -0.007947 0.004554 0.000148 
