earth , jupiter 
0.913558 1.063542 -0.003492 , 4.557505 -2.008542 -0.093627 
0.882483 1.083119 -0.003571 , 4.567179 -1.984214 -0.093945 
0.850443 1.101296 -0.003647 , 4.576730 -1.959833 -0.094260 
0.817462 1.118035 -0.003722 , 4.586158 -1.935400 -0.094572 
0.783567 1.133298 -0.003795 , 4.595464 -1.910914 -0.094882 
0.748783 1.147046 -0.003865 , 4.604647 -1.886378 -0.095189 
0.713138 1.159237 -0.003932 , 4.613706 -1.861791 -0.095493 
0.676659 1.169829 -0.003997 , 4.622641 -1.837153 -0.095795 
0.639374 1.178776 -0.004059 , 4.631452 -1.812467 -0.096095 
0.601313 1.186031 -0.004118 , 4.640138 -1.787732 -0.096392 
0.562506 1.191543 -0.004173 , 4.648700 -1.762949 -0.096686 
0.522985 1.195261 -0.004224 , 4.657137 -1.738118 -0.096978 
0.482784 1.197128 -0.004271 , 4.665449 -1.713241 -0.097267 
0.441940 1.197085 -0.004314 , 4.673635 -1.688317 -0.097554 
0.400491 1.195069 -0.004352 , 4.681695 -1.663348 -0.097837 
0.358479 1.191014 -0.004385 , 4.689629 -1.638334 -0.098119 
0.315948 1.184847 -0.004413 , 4.697437 -1.613276 -0.098397 
0.272948 1.176493 -0.004435 , 4.705118 -1.588175 -0.098673 
0.229532 1.165870 -0.004450 , 4.712672 -1.563030 -0.098947 
0.185762 1.152889 -0.004459 , 4.720098 -1.537844 -0.099217 
0.141702 1.137456 -0.004461 , 4.727398 -1.512616 -0.099485 
0.097427 1.119470 -0.004455 , 4.734569 -1.487347 -0.099750 
0.053021 1.098820 -0.004440 , 4.741612 -1.462038 -0.100013 
0.008580 1.075388 -0.004416 , 4.748528 -1.436689 -0.100273 
-0.035788 1.049045 -0.004383 , 4.755314 -1.411301 -0.100530 
-0.079958 1.019654 -0.004339 , 4.761972 -1.385875 -0.100784 
-0.123785 0.987063 -0.004283 , 4.768501 -1.360412 -0.101036 
-0.167100 0.951110 -0.004215 , 4.774901 -1.334912 -0.101285 
-0.209706 0.911620 -0.004133 , 4.781171 -1.309375 -0.101531 
-0.251370 0.868404 -0.004037 , 4.787311 -1.283803 -0.101774 
-0.291812 0.821261 -0.003924 , 4.793322 -1.258197 -0.102015 
-0.330701 0.769976 -0.003794 , 4.799202 -1.232556 -0.102253 
-0.367636 0.714326 -0.003644 , 4.804952 -1.206881 -0.102488 
-0.402130 0.654086 -0.003472 , 4.810572 -1.181174 -0.102720 
-0.433590 0.589032 -0.003277 , 4.816060 -1.155435 -0.102950 
-0.461289 0.518968 -0.003057 , 4.821418 -1.129664 -0.103177 
-0.484333 0.443747 -0.002808 , 4.826644 -1.103862 -0.103401 
-0.501629 0.363320 -0.002528 , 4.831739 -1.078031 -0.103622 
-0.511845 0.277809 -0.002214 , 4.836703 -1.052170 -0.103840 
-0.513393 0.187623 -0.001866 , 4.841535 -1.026280 -0.104056 
-0.504444 0.093614 -0.001482 , 4.846234 -1.000362 -0.104268 
-0.483042 -0.002708 -0.001063 , 4.850802 -0.974418 -0.104478 
-0.447364 -0.098970 -0.000615 , 4.855237 -0.948446 -0.104685 
-0.396198 -0.191848 -0.000149 , 4.859540 -0.922449 -0.104889 
-0.329564 -0.277305 0.000322 , 4.863710 -0.896426 -0.105090 
-0.249178 -0.351300 0.000777 , 4.867747 -0.870379 -0.105289 
-0.158360 -0.410769 0.001197 , 4.871651 -0.844308 -0.105484 
-0.061283 -0.454329 0.001568 , 4.875422 -0.818215 -0.105677 
0.038026 -0.482307 0.001882 , 4.879059 -0.792098 -0.105866 
0.136357 -0.496212 0.002139 , 4.882563 -0.765960 -0.106053 
0.231518 -0.498086 0.002341 , 4.885934 -0.739801 -0.106237 
0.322204 -0.490028 0.002492 , 4.889170 -0.713622 -0.106418 
0.407759 -0.473947 0.002599 , 4.892273 -0.687424 -0.106596 
0.487952 -0.451461 0.002667 , 4.895242 -0.661206 -0.106771 
0.562814 -0.423902 0.002702 , 4.898076 -0.634970 -0.106943 
0.632522 -0.392345 0.002706 , 4.900776 -0.608717 -0.107113 
0.697330 -0.357652 0.002684 , 4.903342 -0.582448 -0.107279 
0.757524 -0.320513 0.002640 , 4.905773 -0.556162 -0.107443 
0.813398 -0.281481 0.002574 , 4.908069 -0.529861 -0.107603 
0.865241 -0.241001 0.002491 , 4.910231 -0.503545 -0.107760 
0.913326 -0.199436 0.002390 , 4.912257 -0.477216 -0.107915 
0.957909 -0.157078 0.002275 , 4.914149 -0.450873 -0.108067 
0.999228 -0.114168 0.002146 , 4.915905 -0.424518 -0.108215 
1.037501 -0.070904 0.002005 , 4.917527 -0.398152 -0.108361 
1.072929 -0.027451 0.001851 , 4.919013 -0.371774 -0.108503 
1.105698 0.016055 0.001687 , 4.920363 -0.345386 -0.108643 
1.135975 0.059501 0.001512 , 4.921578 -0.318989 -0.108780 
1.163916 0.102790 0.001328 , 4.922658 -0.292583 -0.108913 
1.189662 0.145841 0.001134 , 4.923602 -0.266169 -0.109044 
1.213343 0.188586 0.000932 , 4.924410 -0.239747 -0.109172 
1.235081 0.230967 0.000722 , 4.925082 -0.213319 -0.109296 
1.254985 0.272935 0.000504 , 4.925619 -0.186885 -0.109418 
1.273157 0.314446 0.000278 , 4.926019 -0.160446 -0.109537 
1.289691 0.355465 0.000045 , 4.926284 -0.134002 -0.109652 
1.304674 0.395961 -0.000195 , 4.926413 -0.107555 -0.109765 
1.318186 0.435905 -0.000442 , 4.926405 -0.081105 -0.109874 
1.330303 0.475277 -0.000696 , 4.926262 -0.054652 -0.109981 
1.341094 0.514054 -0.000955 , 4.925982 -0.028198 -0.110084 
1.350623 0.552221 -0.001221 , 4.925567 -0.001743 -0.110185 
1.358950 0.589761 -0.001493 , 4.925015 0.024712 -0.110282 
1.366132 0.626662 -0.001770 , 4.924327 0.051166 -0.110376 
1.372221 0.662913 -0.002053 , 4.923502 0.077618 -0.110468 
1.377266 0.698504 -0.002341 , 4.922541 0.104069 -0.110556 
1.381313 0.733425 -0.002635 , 4.921445 0.130517 -0.110641 
