earth , jupiter 
-0.847428 -0.489598 -0.000059 , 4.841535 -1.026281 -0.104056 
-0.817120 -0.539491 -0.000056 , 4.846234 -1.000363 -0.104268 
-0.783932 -0.587483 -0.000053 , 4.850802 -0.974418 -0.104478 
-0.747985 -0.633410 -0.000050 , 4.855237 -0.948447 -0.104685 
-0.709412 -0.677112 -0.000046 , 4.859540 -0.922449 -0.104889 
-0.668350 -0.718441 -0.000043 , 4.863710 -0.896427 -0.105090 
-0.624947 -0.757255 -0.000039 , 4.867747 -0.870380 -0.105289 
-0.579361 -0.793423 -0.000036 , 4.871651 -0.844309 -0.105484 
-0.531753 -0.826825 -0.000032 , 4.875422 -0.818215 -0.105677 
-0.482293 -0.857348 -0.000028 , 4.879059 -0.792099 -0.105866 
-0.431157 -0.884894 -0.000024 , 4.882564 -0.765961 -0.106053 
-0.378524 -0.909371 -0.000020 , 4.885934 -0.739802 -0.106237 
-0.324581 -0.930703 -0.000016 , 4.889171 -0.713623 -0.106418 
-0.269516 -0.948820 -0.000012 , 4.892273 -0.687424 -0.106596 
-0.213521 -0.963668 -0.000008 , 4.895242 -0.661207 -0.106771 
-0.156791 -0.975202 -0.000004 , 4.898076 -0.634971 -0.106943 
-0.099522 -0.983390 0.000000 , 4.900776 -0.608718 -0.107113 
-0.041910 -0.988210 0.000004 , 4.903342 -0.582448 -0.107279 
0.015846 -0.989653 0.000008 , 4.905773 -0.556162 -0.107443 
0.073549 -0.987721 0.000012 , 4.908069 -0.529861 -0.107603 
0.131004 -0.982428 0.000016 , 4.910231 -0.503546 -0.107760 
0.188015 -0.973798 0.000020 , 4.912258 -0.477216 -0.107915 
0.244390 -0.961867 0.000024 , 4.914149 -0.450874 -0.108067 
0.299939 -0.946682 0.000028 , 4.915906 -0.424519 -0.108215 
0.354477 -0.928300 0.000031 , 4.917527 -0.398152 -0.108361 
0.407823 -0.906790 0.000034 , 4.919013 -0.371775 -0.108503 
0.459797 -0.882229 0.000037 , 4.920363 -0.345387 -0.108643 
0.510229 -0.854705 0.000041 , 4.921578 -0.318990 -0.108780 
0.558952 -0.824315 0.000043 , 4.922658 -0.292583 -0.108913 
0.605806 -0.791166 0.000046 , 4.923602 -0.266169 -0.109044 
0.650637 -0.755373 0.000048 , 4.924410 -0.239748 -0.109172 
0.693299 -0.717059 0.000051 , 4.925082 -0.213320 -0.109296 
0.733651 -0.676355 0.000053 , 4.925619 -0.186886 -0.109418 
0.771564 -0.633400 0.000055 , 4.926020 -0.160447 -0.109537 
0.806914 -0.588340 0.000056 , 4.926284 -0.134003 -0.109652 
0.839587 -0.541326 0.000058 , 4.926413 -0.107556 -0.109765 
0.869476 -0.492516 0.000059 , 4.926406 -0.081105 -0.109874 
0.896486 -0.442073 0.000060 , 4.926262 -0.054653 -0.109981 
0.920530 -0.390167 0.000060 , 4.925983 -0.028199 -0.110084 
0.941530 -0.336970 0.000061 , 4.925567 -0.001744 -0.110185 
0.959418 -0.282658 0.000061 , 4.925015 0.024711 -0.110282 
0.974138 -0.227412 0.000061 , 4.924327 0.051165 -0.110377 
0.985642 -0.171415 0.000060 , 4.923503 0.077618 -0.110468 
0.993894 -0.114852 0.000060 , 4.922542 0.104068 -0.110556 
0.998865 -0.057909 0.000059 , 4.921445 0.130516 -0.110641 
1.000541 -0.000775 0.000057 , 4.920212 0.156960 -0.110723 
0.998917 0.056362 0.000056 , 4.918842 0.183400 -0.110802 
0.993996 0.113312 0.000054 , 4.917337 0.209834 -0.110878 
0.985794 0.169888 0.000053 , 4.915695 0.236263 -0.110951 
0.974338 0.225904 0.000050 , 4.913916 0.262685 -0.111021 
0.959664 0.281172 0.000048 , 4.912002 0.289100 -0.111088 
0.941819 0.335511 0.000046 , 4.909951 0.315507 -0.111151 
0.920860 0.388740 0.000043 , 4.907764 0.341906 -0.111212 
0.896853 0.440682 0.000040 , 4.905441 0.368294 -0.111269 
0.869877 0.491163 0.000037 , 4.902982 0.394673 -0.111324 
0.840017 0.540015 0.000033 , 4.900386 0.421040 -0.111375 
0.807370 0.587073 0.000030 , 4.897655 0.447396 -0.111423 
0.772040 0.632181 0.000026 , 4.894787 0.473740 -0.111468 
0.734143 0.675184 0.000023 , 4.891784 0.500070 -0.111510 
0.693802 0.715937 0.000019 , 4.888644 0.526386 -0.111549 
0.651147 0.754301 0.000015 , 4.885369 0.552688 -0.111585 
0.606318 0.790144 0.000011 , 4.881957 0.578975 -0.111618 
0.559461 0.823342 0.000006 , 4.878410 0.605245 -0.111647 
0.510730 0.853780 0.000002 , 4.874728 0.631498 -0.111674 
0.460286 0.881351 -0.000002 , 4.870909 0.657734 -0.111697 
0.408295 0.905957 -0.000006 , 4.866956 0.683952 -0.111718 
0.354930 0.927511 -0.000011 , 4.862866 0.710150 -0.111735 
0.300368 0.945932 -0.000015 , 4.858642 0.736329 -0.111749 
0.244792 0.961155 -0.000019 , 4.854282 0.762487 -0.111760 
0.188387 0.973119 -0.000024 , 4.849787 0.788625 -0.111768 
0.131344 0.981780 -0.000028 , 4.845156 0.814740 -0.111772 
0.073856 0.987099 -0.000032 , 4.840391 0.840832 -0.111774 
0.016118 0.989054 -0.000036 , 4.835491 0.866901 -0.111772 
-0.041675 0.987629 -0.000040 , 4.830456 0.892946 -0.111768 
-0.099323 0.982824 -0.000044 , 4.825287 0.918966 -0.111760 
-0.156630 0.974646 -0.000048 , 4.819983 0.944960 -0.111749 
-0.213396 0.963119 -0.000052 , 4.814545 0.970928 -0.111735 
-0.269427 0.948274 -0.000055 , 4.808972 0.996869 -0.111718 
-0.324526 0.930156 -0.000058 , 4.803265 1.022782 -0.111698 
-0.378502 0.908821 -0.000062 , 4.797424 1.048666 -0.111675 
-0.431165 0.884337 -0.000065 , 4.791450 1.074522 -0.111648 
-0.482329 0.856782 -0.000067 , 4.785341 1.100347 -0.111619 
-0.531815 0.826246 -0.000070 , 4.779100 1.126141 -0.111586 
-0.579446 0.792831 -0.000072 , 4.772724 1.151905 -0.111550 
-0.625052 0.756647 -0.000074 , 4.766216 1.177635 -0.111511 
-0.668471 0.717817 -0.000076 , 4.759574 1.203334 -0.111469 
-0.709547 0.676472 -0.000078 , 4.752800 1.228998 -0.111424 
-0.748131 0.632752 -0.000079 , 4.745892 1.254628 -0.111376 
-0.784085 0.586809 -0.000080 , 4.738852 1.280223 -0.111325 
-0.817277 0.538800 -0.000081 , 4.731680 1.305783 -0.111270 
-0.847588 0.488892 -0.000082 , 4.724376 1.331306 -0.111213 
-0.874906 0.437258 -0.000082 , 4.716939 1.356791 -0.111152 
-0.899131 0.384079 -0.000082 , 4.709371 1.382239 -0.111088 
-0.920174 0.329542 -0.000082 , 4.701671 1.407648 -0.111021 
-0.937957 0.273838 -0.000081 , 4.693840 1.433018 -0.110951 
-0.952415 0.217163 -0.000081 , 4.685878 1.458348 -0.110878 
-0.963494 0.159718 -0.000080 , 4.677784 1.483637 -0.110802 
-0.971151 0.101707 -0.000078 , 4.669560 1.508884 -0.110723 
-0.975359 0.043334 -0.000077 , 4.661205 1.534089 -0.110641 
-0.976100 -0.015192 -0.000075 , 4.652720 1.559252 -0.110555 
-0.973371 -0.073664 -0.000073 , 4.644105 1.584371 -0.110467 
-0.967180 -0.131874 -0.000071 , 4.635360 1.609445 -0.110375 
-0.957551 -0.189615 -0.000068 , 4.626485 1.634475 -0.110280 
-0.944516 -0.246682 -0.000065 , 4.617481 1.659458 -0.110182 
-0.928123 -0.302871 -0.000062 , 4.608348 1.684396 -0.110081 
-0.908431 -0.357984 -0.000059 , 4.599085 1.709286 -0.109977 
-0.885512 -0.411825 -0.000056 , 4.589695 1.734128 -0.109870 
-0.859448 -0.464203 -0.000052 , 4.580175 1.758922 -0.109760 
-0.830334 -0.514934 -0.000048 , 4.570528 1.783667 -0.109647 
-0.798275 -0.563840 -0.000045 , 4.560753 1.808362 -0.109531 
-0.763387 -0.610747 -0.000041 , 4.550850 1.833006 -0.109412 
-0.725798 -0.655493 -0.000036 , 4.540819 1.857599 -0.109289 
-0.685642 -0.697922 -0.000032 , 4.530662 1.882140 -0.109164 
-0.643064 -0.737885 -0.000028 , 4.520378 1.906628 -0.109035 
-0.598217 -0.775246 -0.000023 , 4.509968 1.931063 -0.108904 
-0.551263 -0.809877 -0.000019 , 4.499431 1.955444 -0.108769 
-0.502370 -0.841659 -0.000014 , 4.488768 1.979770 -0.108631 
-0.451712 -0.870485 -0.000010 , 4.477980 2.004041 -0.108491 
-0.399469 -0.896259 -0.000005 , 4.467066 2.028255 -0.108347 
-0.345827 -0.918896 -0.000001 , 4.456028 2.052413 -0.108200 
-0.290977 -0.938322 0.000004 , 4.444864 2.076514 -0.108050 
-0.235110 -0.954475 0.000009 , 4.433577 2.100556 -0.107898 
-0.178425 -0.967305 0.000013 , 4.422165 2.124540 -0.107742 
-0.121118 -0.976773 0.000018 , 4.410630 2.148464 -0.107583 
-0.063391 -0.982853 0.000022 , 4.398971 2.172328 -0.107421 
-0.005443 -0.985531 0.000026 , 4.387189 2.196131 -0.107256 
0.052524 -0.984804 0.000030 , 4.375284 2.219873 -0.107088 
0.110311 -0.980681 0.000034 , 4.363257 2.243553 -0.106918 
0.167719 -0.973183 0.000038 , 4.351108 2.267170 -0.106744 
0.224553 -0.962344 0.000042 , 4.338837 2.290723 -0.106567 
0.280618 -0.948206 0.000045 , 4.326444 2.314212 -0.106387 
0.335724 -0.930825 0.000049 , 4.313931 2.337637 -0.106204 
0.389685 -0.910266 0.000052 , 4.301297 2.360996 -0.106019 
0.442320 -0.886606 0.000055 , 4.288543 2.384290 -0.105830 
0.493452 -0.859932 0.000058 , 4.275668 2.407516 -0.105638 
0.542911 -0.830338 0.000060 , 4.262674 2.430675 -0.105443 
0.590532 -0.797932 0.000063 , 4.249561 2.453767 -0.105246 
